563,636,8,6,532
171,448,23,0,1362
127,66,0,0,120
76,47,5,4,144
73,140,5,0,332
118,81,0,0,84
304,93,2,0,174
279,68,1,0,144
272,102,2,0,117
430,223,4,4,226
613,363,5,2,269
16,12,0,0,44
201,421,22,6,2681
603,551,12,4,543
1,0,36,85,113
153,74,0,0,109
92,115,3,0,605
93,25,1,0,43
138,37,1,0,60
7,17,0,0,17
68,35,1,0,53
827,106,11,2,538
414,232,4,1,135
7075,1073,136,2,6770
427,58,1,0,191
168,42,1,0,89
48,70,3,0,219
0,0,88,1956,1924
302,187,3,0,222
346,251,61,0,1382
0,1,1908,106,236516
1004,212,5,33,717
276,71,11,1,242
288,246,17,0,623
257,73,0,0,178
251,356,11,0,1223
122,134,8,1,320
2931,1628,288,40,5255
449,211,2,0,242
65,61,10,0,230
32,98,1,0,343
357,160,4,0,154
70,43,3,4,62
