373,9,101,97,19,41,29,19,26,62,19,77,23,13,11,1,6,3,18,71,14,44,97,30,28,4,298,10,8,5,7,19,68,19,107,15,11,17,4,1,10668,5,13
76,0,27,9,6,6,9,4,5,7,1,17,5,5,5,1,2,0,2,4,1,3,17,3,3,1,93,2,0,0,5,14,7,0,35,5,8,1,2,2,2077,2,0
323,2,73,15,48,74,53,21,77,36,13,46,10,39,21,2,8,9,15,32,6,31,88,39,12,1,373,27,3,0,31,49,39,18,104,9,30,5,6,3,6820,17,8
60,0,5,5,17,8,13,4,56,6,1,8,1,46,9,0,15,0,1,0,0,3,6,10,1,0,179,10,1,0,6,11,5,3,8,2,3,1,4,2,928,0,2
269,11,49,99,48,67,113,62,60,21,7,46,15,40,12,3,13,11,12,27,6,17,95,12,14,8,804,32,4,1,37,44,41,35,140,10,28,6,5,7,7915,30,15
280,2,57,46,11,42,13,6,8,40,11,60,13,4,1,1,2,7,22,32,13,24,72,13,7,2,84,5,4,0,6,42,45,3,46,16,16,3,1,5,5612,7,2
6,0,3,0,1,1,0,1,2,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,0,0,0,0,1,0,0,0,1,0,0,0,0,836,1,1
294,12,76,50,36,72,16,17,26,42,10,50,17,14,10,4,8,8,14,46,22,38,100,37,23,2,180,12,11,2,8,74,54,19,131,18,18,13,1,5,7555,12,7
3,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,1,0,1,1,0,0,0,0,0,258,0,1
43,1,12,8,1,9,6,1,5,6,2,5,1,1,0,0,1,3,2,2,4,6,16,3,4,1,28,1,3,0,2,15,6,4,20,1,3,1,0,1,1547,1,0
169,1,41,24,13,58,20,11,17,11,7,43,12,7,3,1,1,2,6,14,10,13,49,9,13,4,252,4,3,0,9,23,28,5,47,10,23,10,1,2,4427,9,6
152,2,49,18,13,30,5,7,12,29,3,32,12,0,9,1,1,4,3,15,6,16,57,9,8,1,98,7,1,0,7,31,32,8,73,10,5,2,0,3,6010,5,2
819,18,138,148,78,122,131,52,153,72,11,134,107,65,26,8,20,9,22,63,44,52,232,37,42,9,1194,56,19,3,55,154,90,49,248,32,112,13,28,4,21041,51,21
5787,207,973,553,448,882,1324,272,754,661,153,1176,258,316,264,29,166,85,287,385,160,427,2080,338,368,164,8703,252,142,21,238,746,1138,278,2377,169,443,182,84,108,116936,428,205
184,4,51,31,12,39,13,7,13,15,1,34,6,9,31,3,4,1,6,46,0,25,45,45,5,2,120,10,5,0,8,161,23,13,77,10,9,3,6,7,4722,7,2
323,21,109,58,46,37,83,33,61,53,13,86,18,43,8,6,15,7,26,61,23,23,108,11,25,29,699,13,8,2,17,62,95,55,160,13,17,9,4,5,10889,62,24
28,0,7,2,1,10,1,0,0,1,0,10,2,1,0,0,2,0,1,2,1,3,7,6,0,0,30,3,1,1,0,4,3,4,19,1,2,2,0,0,1587,1,5
208,4,93,14,17,36,28,12,66,25,8,37,17,25,6,2,15,2,7,9,6,24,64,12,1,0,557,15,6,2,10,22,46,33,59,15,8,1,0,5,7513,9,12
70,2,29,4,6,11,15,2,20,8,2,31,1,11,1,2,4,1,4,1,0,3,6,4,11,0,587,6,1,0,4,16,7,8,13,1,0,0,0,0,3587,2,0
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,45,0,0
100,3,12,10,7,18,13,9,19,14,1,18,6,3,7,2,2,0,4,4,2,6,21,11,5,1,104,3,2,0,2,32,13,5,57,7,3,2,0,3,3239,1,0
178,4,31,19,21,35,35,13,50,15,4,24,12,20,15,4,6,4,4,11,13,6,62,13,4,3,284,9,5,0,17,62,29,4,65,4,29,3,5,2,3248,16,5
202,6,59,23,26,52,26,9,19,21,4,32,7,4,43,1,6,1,9,38,1,25,43,52,5,1,154,4,2,2,6,99,47,13,87,10,6,8,8,12,5801,6,7
193,4,43,18,27,63,24,11,35,25,5,35,7,11,26,1,3,0,9,24,4,25,63,20,22,3,193,11,6,2,18,63,25,7,92,7,11,1,3,5,5270,3,2
