16105,281,19,113,21,324,488,76,203,174
817,156,1,7,0,144,46,11,13,11
15139,596,36,105,27,1045,660,89,281,298
127613,2886,262,900,236,5616,7640,637,2091,3086
13579,363,25,78,25,763,585,68,192,194
17465,187,19,119,20,197,393,72,167,144
4116,60,5,33,2,54,106,27,41,46
4898,214,20,23,21,529,282,31,78,102
19626,174,21,80,12,179,327,87,137,166
41,1,0,0,0,1,3,2,1,3
7528,392,20,64,25,874,330,33,132,167
2182,28,3,22,7,34,81,10,29,52
5296,123,12,46,7,199,197,27,74,79
3774,64,4,7,14,589,144,19,29,22
19651,357,27,145,29,381,798,90,260,351
