1450,39,322,131,135,234,150,107,117,171,36,280,92,50,65,12,29,19,64,94,38,133,377,97,79,15,1028,58,37,12,89,261,260,44,431,86,88,22,18,31,34860,74,39
2444,59,552,210,246,342,253,120,216,336,54,604,143,125,115,18,66,24,173,70,34,301,1242,176,148,33,2013,101,49,10,129,259,585,147,849,131,183,27,38,35,59665,125,104
222,2,31,26,14,39,4,3,0,18,4,16,9,0,2,1,3,2,7,70,3,8,35,1,8,1,27,5,2,1,4,45,40,0,14,6,9,6,0,0,1976,3,2
218,8,72,27,17,52,16,12,14,36,3,68,15,11,12,3,4,1,7,16,10,21,66,21,22,2,97,15,3,2,8,53,30,8,62,14,19,7,4,5,5350,7,4
491,2,92,125,18,42,15,12,11,63,24,103,30,2,6,4,1,13,34,121,35,61,107,18,31,2,81,8,6,0,11,25,84,7,39,18,39,34,13,4,7997,5,13
200,4,48,58,17,129,133,32,130,11,2,18,24,89,10,0,30,4,10,8,5,14,158,24,11,10,1896,19,3,0,9,46,43,15,131,1,17,5,1,4,1582,23,17
96,5,13,23,14,54,78,6,88,7,1,5,10,39,6,0,11,3,1,6,0,0,56,4,0,5,976,11,2,0,6,25,17,51,132,0,9,0,2,0,925,9,9
607,19,166,38,32,108,174,25,107,49,8,211,24,40,11,7,12,8,33,9,4,44,304,20,14,8,943,15,15,1,16,31,194,69,252,9,11,2,9,10,8440,28,29
176,0,22,52,2,19,0,2,0,24,4,33,6,0,1,3,0,1,10,37,12,10,15,4,10,0,13,5,0,0,1,4,26,0,10,3,12,9,3,0,1350,1,3
258,6,71,23,29,45,19,13,22,43,13,78,19,7,7,2,6,2,10,9,10,29,55,18,10,6,141,17,6,1,11,58,34,12,64,9,7,2,7,1,6847,14,7
241,13,54,35,19,46,86,19,95,15,7,48,11,38,16,1,9,5,14,17,7,15,132,19,15,5,898,15,11,4,11,35,52,48,231,3,20,5,2,9,6967,24,18
251,4,58,11,24,39,91,19,55,34,7,45,9,20,22,0,11,2,12,22,5,17,138,32,11,6,553,29,15,2,22,47,76,23,239,10,16,4,1,3,8371,33,10
369,13,71,32,20,52,101,18,55,25,8,73,30,26,18,0,6,4,14,22,5,27,148,24,9,13,627,16,4,0,17,43,110,38,223,6,11,5,1,5,9032,29,20
1494,107,162,167,216,319,699,136,458,159,46,183,74,193,150,6,88,48,17,199,92,24,120,178,96,90,4774,127,58,7,107,380,76,81,969,7,198,87,32,62,58136,210,32
1407,22,291,245,76,151,49,29,53,166,54,211,48,14,48,15,8,19,60,175,73,95,294,61,133,10,326,28,22,1,41,421,182,32,168,62,134,64,25,11,24345,52,29
159,3,14,20,21,34,70,16,23,12,5,27,4,9,8,0,13,2,7,6,1,16,65,16,4,1,278,14,2,0,10,7,29,2,110,1,5,4,3,2,2219,17,4
59,7,1,29,4,8,33,4,40,5,0,1,2,14,11,0,3,0,1,6,2,0,19,1,0,29,385,9,0,0,1,5,3,8,44,0,8,0,3,0,469,21,0
