7244,2,23,70,20509,1957,1111,10858
6700,3,101,32,36249,3292,2886,23291
51,0,0,0,1911,71,36,600
508,0,0,2,3299,264,107,2262
210,0,0,14,6169,321,103,3030
132,0,47,12,2660,260,633,1247
76,0,10,3,1549,141,355,571
307,24,2245,14,6171,344,894,2157
36,0,0,2,1394,37,20,394
568,0,0,6,4193,316,157,2808
420,17,3593,1,3049,328,606,1321
2011,7,1804,0,3809,471,563,1734
767,14,3396,1,4104,440,668,1980
0,0,63934,0,1,1515,5405,9
1893,0,2,24,16555,1417,533,9326
693,1,297,0,1296,178,225,573
153,1,13,6,500,126,231,205
