6338,18,167,27,67,66,5308,0,519
1215,4,59,11,19,16,964,0,184
4367,19,184,27,86,53,3365,0,535
730,16,22,2,8,7,580,0,75
5146,43,139,20,63,59,4290,0,531
3448,14,103,15,61,42,2715,0,288
443,0,9,2,3,3,386,0,42
4594,10,151,23,52,49,3766,0,519
141,0,12,0,1,4,115,0,16
903,1,46,3,15,18,702,0,88
2776,10,87,14,30,34,2187,0,280
3493,6,82,12,30,26,2855,0,284
12767,55,482,68,214,147,10319,0,1730
75246,444,1693,320,810,681,62982,2239,6552
2864,4,97,6,32,31,2484,0,297
6608,28,181,31,74,51,5776,0,711
840,0,28,2,3,8,777,0,90
4655,17,153,38,51,49,3573,0,515
2226,11,60,15,18,24,1943,0,184
23,1,3,2,5,0,17,0,1
1848,8,64,7,14,14,1597,0,219
2213,9,71,13,30,17,1718,0,322
3529,7,129,17,36,35,2849,0,385
3229,8,104,16,39,31,2669,0,324
