20834,73,10,2525,188,165,649,17232,98,0
36054,120,11,3668,259,222,1090,30973,157,0
1381,9,0,152,7,0,11,1106,3,0
3294,11,2,372,14,26,68,2644,11,0
5062,27,5,457,38,20,71,4154,13,0
2525,36,12,283,8,4,47,2074,2,0
1351,13,6,122,12,3,29,1167,2,0
6020,23,3,427,39,18,180,5428,18,0
963,5,2,94,12,7,11,784,5,0
4009,7,3,379,32,39,113,3448,18,0
4747,22,9,443,33,27,168,3868,18,0
5236,17,3,586,37,31,191,4277,21,0
5610,21,3,569,56,26,199,4864,22,0
35241,116,26,3649,293,188,1010,27919,183,2239
15192,93,9,1883,119,127,269,12004,54,0
1496,14,2,225,7,6,36,1472,5,0
627,12,3,56,0,1,13,523,0,0
