0,0,0,1597
0,869,0,0
0,311,0,0
0,0,0,305
0,0,0,346
0,936,0,0
0,0,0,304
0,0,0,725
149642,0,126176,0
0,298,0,0
0,182,0,0
0,290,0,0
0,280,0,0
0,254,0,0
0,265,0,0
0,922,0,0
0,172,0,0
0,121,0,0
0,414,0,0
0,691,0,0
0,334,0,0
0,0,0,245
0,0,0,338
0,333,0,0
0,640,0,0
0,184,0,0
0,1210,0,0
0,344,0,0
0,219,0,0
0,113,0,0
0,215,0,0
0,0,0,324
0,0,0,380
0,254,0,0
0,224,0,0
0,358,0,0
0,311,0,0
0,282,0,0
0,123,0,235
0,297,0,0
0,830,0,0
0,0,0,1299
0,45,0,0
0,1038,0,0
0,144,0,0
0,0,0,213
0,775,0,1823
0,0,0,302
0,167,0,0
0,0,0,233
0,353,0,0
