1177,0,122,28,5381,428,158,5216
462,1,194,0,1039,185,105,486
1020,2,130,6,4677,571,330,1900
121,0,192,1,487,177,108,354
875,0,92,2,5878,518,392,2534
435,0,66,10,3822,306,105,1942
48,0,3,0,694,22,4,117
799,0,39,2,4606,398,183,3137
27,0,4,0,178,22,2,56
120,0,9,0,1071,87,41,448
439,1,44,0,3392,287,126,1129
457,0,22,2,4250,233,109,1715
6225,57,72073,100,36018,3719,10098,22677
4714,7,1869,16,10181,1756,1137,6102
409,0,6,1,2647,227,124,2401
1031,0,41,1,8783,626,381,2597
105,0,5,0,1244,51,21,322
903,0,69,2,5963,558,314,1242
418,0,211,4,2551,196,184,917
9,0,1,0,26,5,4,7
416,1,121,5,1420,184,104,1520
489,0,73,3,2037,312,167,1312
524,0,63,1,2979,313,182,2925
546,0,16,3,4094,297,154,1310
