44,2,1,4,106
319,77,8,12,576
1,0,0,0,2
29,12,2,2,158
5,0,0,0,10
116,4,6,5,756
651,234,26,60,2006
68,6,5,1,199
1136,203,99,88,7752
0,0,0,0,2
2484,286,596,274,71676
0,0,0,0,7
823,106,31,38,1564
5872,3444,801,858,68964
82,42,20,7,874
2,0,0,0,3
4896,2696,538,423,53797
0,0,0,0,3
14,2,2,3,561
0,0,0,0,15
1,0,0,0,53
2,1,0,2,114
4,0,0,0,47
47,3,5,5,1025
360,72,10,16,508
32,3,3,2,1528
116,11,4,9,819
45,8,12,8,2684
1,0,0,0,2
1485,1211,284,311,30165
146,20,9,13,837
0,0,0,0,6
0,0,0,0,14
100,27,12,11,1328
64,9,6,10,809
1118,382,227,94,16343
3,0,0,0,6
41,6,0,1,28
