8984,27,333,60,53,94,67,7170,0,1016
600,15,21,4,2,5,4,490,0,65
9074,45,316,61,59,91,76,7303,0,1251
75246,444,1693,331,272,682,526,62982,2239,6552
7946,32,245,48,30,86,65,6497,0,923
9561,27,294,54,60,100,63,7825,0,799
2229,7,80,14,7,25,13,1864,0,251
3083,29,126,22,7,37,24,2396,0,474
10644,38,358,85,80,126,55,8522,0,901
4810,29,113,22,12,31,28,3920,0,600
23,1,3,0,0,4,3,17,0,1
1211,2,43,9,7,14,5,1016,0,141
3013,4,86,10,8,29,17,2553,0,340
2282,13,70,12,4,23,21,2032,0,209
10936,20,345,61,38,101,70,9350,0,1168
