818,148,7681,265,354,3244
120,29,991,29,213,1090
554,100,4524,136,483,2839
164,27,410,25,318,496
737,73,6165,159,307,2850
311,190,4021,153,169,1842
48,3,662,14,8,153
632,141,5298,217,150,2726
4,4,176,2,14,89
127,3,1080,9,22,535
509,78,4178,114,114,1795
297,82,3367,81,117,1474
1245,10665,18036,3393,106079,11549
1659,316,11036,365,2200,10206
616,30,3417,112,72,1568
767,84,8682,135,234,3558
78,6,1266,19,19,360
348,66,5541,98,314,2684
145,210,2361,155,432,1178
0,1,28,0,9,14
368,47,1954,51,301,1050
466,85,2086,81,219,1456
838,74,3983,132,177,1783
332,64,4012,99,137,1776
