154,37,21,5,1380
24,10,7,0,828
1,1,5,0,304
7,0,1,0,297
25,6,7,0,308
470,19,32,22,393
3,1,1,0,299
14,9,7,0,695
17758,8410,2409,2051,245190
16,6,2,1,273
13,7,1,7,154
0,0,3,0,277
7,2,0,2,279
4,1,2,0,247
17,2,5,1,240
20,9,7,5,881
24,3,3,0,142
4,2,3,2,110
12,9,12,2,379
72,22,8,36,553
12,11,11,2,298
0,2,3,0,240
21,5,5,0,307
1,1,1,0,330
57,16,5,21,541
4,1,2,0,177
176,51,13,38,932
11,5,2,1,325
4,1,1,0,213
3,1,2,0,107
2,3,3,0,207
5,0,2,0,317
35,5,10,0,330
8,2,1,0,243
22,5,5,1,191
8,2,5,0,343
2,0,0,0,309
15,1,0,1,265
4,0,2,0,291
28,7,6,0,317
118,22,8,10,672
165,40,15,25,1054
7,7,0,0,31
55,17,15,14,937
11,1,5,4,123
1,1,4,0,207
655,99,32,5,1807
19,0,6,0,277
3,0,0,0,164
10,4,6,1,332
0,1,1,0,231
