78,20,47,12
519,92,322,59
0,0,3,0
86,19,80,18
7,0,7,1
452,52,340,43
1558,169,1125,125
106,39,123,11
4799,1284,2562,633
0,0,2,0
37566,3712,31800,2238
3,1,3,0
1276,229,912,145
39946,3403,34517,2073
523,87,362,53
2,1,2,0
31175,2379,27353,1443
0,0,2,1
282,39,242,19
8,0,7,0
27,3,21,3
64,6,42,7
504,23,539,19
27,4,19,1
823,30,665,50
482,93,323,68
432,16,491,20
1398,11,1337,11
2,0,0,1
16927,2194,13269,1066
366,149,407,103
2,2,2,0
6,1,7,0
749,100,570,59
454,49,363,32
8946,578,8291,349
5,3,0,1
42,10,19,5
