9,10,49,4,4,0,1,1,409,0,8,0,0,0,1,0,0,0,2,22,385,0,194,14,21,3,33,11,1,1,7,18,0,0,14,106,0,269
4,2,35,3,0,0,0,0,259,0,0,0,0,0,3,0,0,0,0,2,217,0,106,1,10,2,13,1,0,0,1,1,0,0,12,58,1,138
1,0,18,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,1,78,2,51,2,0,0,3,1,0,0,1,0,0,0,0,22,0,62
2,1,10,2,0,1,0,1,102,0,0,0,0,0,1,0,0,0,0,0,89,0,37,1,4,1,2,1,0,0,1,4,0,0,8,20,0,58
2,0,12,1,0,0,0,0,79,0,1,0,0,0,0,0,0,0,0,1,75,0,43,0,5,0,4,0,0,0,0,1,0,0,2,24,0,55
3,3,48,3,1,0,0,0,217,0,3,0,0,0,2,0,0,0,0,0,176,13,80,25,26,0,37,24,1,0,2,11,0,0,8,93,1,159
4,1,12,1,1,0,0,0,77,0,0,0,0,0,0,0,0,0,1,1,81,0,39,1,4,1,2,0,0,0,0,1,0,0,3,22,0,52
6,3,29,6,2,0,0,0,174,0,2,0,1,0,2,0,0,0,3,1,184,1,93,8,11,0,4,6,0,0,0,0,0,0,11,48,0,130
1319,885,17237,817,166,14,46,106,69366,3,1043,15,48,6,524,13,2,2,2735,1488,74463,229,30196,805,2683,125,2188,841,5,2,923,792,4,4,773,7361,61,58528
4,3,11,2,0,0,0,0,58,0,0,0,0,0,2,0,0,0,0,0,65,4,48,1,6,1,2,2,0,0,1,1,0,0,6,26,0,55
2,1,9,0,0,0,0,0,48,0,0,0,0,0,0,1,0,0,0,1,38,0,32,1,0,0,4,1,0,0,0,1,0,0,3,16,0,24
2,2,9,1,0,0,0,0,84,0,0,0,0,0,1,0,0,0,0,0,63,0,28,4,0,0,3,3,0,0,1,1,0,0,6,24,0,58
0,1,7,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,1,57,0,44,1,0,0,4,0,0,0,1,2,0,0,2,28,0,41
0,0,5,0,0,0,0,0,70,0,0,0,0,0,1,0,0,0,0,2,62,0,40,0,0,0,4,0,0,0,0,0,0,0,0,22,0,48
3,5,3,0,1,0,0,0,58,0,0,0,0,0,1,0,0,0,0,1,62,0,38,1,3,1,4,3,0,0,0,0,0,1,2,24,0,54
10,3,34,2,1,0,0,0,250,0,5,0,0,0,3,0,0,0,0,5,215,0,149,1,10,2,8,1,0,0,0,1,0,0,12,70,0,140
1,1,8,2,0,0,1,0,44,0,0,0,0,0,0,0,0,0,0,0,39,0,35,2,0,1,2,1,0,0,1,2,0,0,0,17,0,15
0,0,3,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,29,0,18,1,2,0,2,1,0,0,0,2,0,0,1,15,0,21
3,1,8,0,0,0,0,1,122,0,0,0,0,0,0,0,0,0,0,2,110,0,43,1,2,0,5,1,0,0,0,0,0,0,2,42,0,71
5,10,30,2,0,0,0,0,167,0,1,0,1,0,2,0,0,0,0,1,154,1,116,2,10,0,10,5,0,0,0,1,0,0,9,55,0,109
3,1,13,0,1,0,0,0,67,0,3,0,1,0,4,0,0,0,0,0,77,0,46,2,2,0,8,0,0,0,0,0,0,0,6,37,2,61
1,2,11,0,0,0,0,1,72,0,0,0,1,0,1,0,0,0,0,1,60,0,33,1,2,0,3,2,0,0,0,0,0,0,2,13,0,39
4,3,14,2,1,0,0,0,85,0,1,0,0,0,0,0,0,0,0,1,79,2,38,2,5,0,3,3,0,0,0,1,0,0,3,28,0,63
2,0,7,1,0,0,0,1,77,0,0,0,0,0,2,0,0,0,0,0,74,2,61,0,5,2,5,0,0,0,0,4,0,0,2,36,0,52
7,3,25,3,1,0,0,0,157,0,1,0,0,0,2,0,0,0,1,1,166,0,99,4,6,1,6,1,0,0,2,2,0,0,4,49,1,98
1,0,4,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,43,0,40,0,2,0,3,1,0,0,0,0,0,0,0,19,0,30
6,10,59,8,2,0,0,1,288,0,2,0,0,1,1,0,0,0,7,4,278,1,181,5,21,2,25,4,0,0,2,7,0,0,4,95,0,196
0,0,11,2,0,0,0,0,79,0,0,0,0,0,1,0,0,0,0,0,78,2,69,1,1,1,6,0,0,0,0,0,0,0,4,39,1,49
1,3,7,1,1,0,0,0,58,0,0,0,0,0,1,0,0,0,0,0,51,1,37,2,1,0,3,1,0,0,0,2,0,0,0,17,0,32
0,2,5,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,27,0,21,0,0,0,2,1,0,0,0,0,0,0,2,12,0,14
1,2,4,0,1,0,0,0,50,0,1,0,0,0,0,0,0,0,0,0,55,0,36,1,0,0,0,1,0,0,0,0,0,0,5,20,0,38
5,4,15,1,2,0,0,0,66,0,0,0,0,0,2,0,0,0,3,4,88,0,33,2,3,0,5,2,0,0,0,0,0,0,1,22,0,66
2,0,15,0,0,0,0,0,107,0,3,0,0,0,2,0,0,0,0,0,84,0,53,4,10,0,3,1,0,0,0,1,0,0,6,31,0,58
2,1,7,0,0,0,0,0,67,0,1,0,0,0,2,0,0,0,1,1,61,0,42,1,1,1,2,0,0,0,0,2,0,0,3,21,0,38
2,0,10,1,2,0,0,0,52,0,0,0,0,0,1,0,0,0,0,1,54,0,31,5,3,0,1,3,0,0,0,0,0,0,5,16,1,36
2,2,15,0,0,0,0,0,108,0,0,0,0,0,1,0,0,0,0,0,80,1,49,2,2,0,2,2,0,0,2,1,0,0,1,24,0,64
1,1,22,4,0,0,0,1,82,0,0,0,0,0,0,0,0,0,0,0,83,0,40,0,6,0,1,1,0,0,0,0,0,0,0,10,0,59
1,2,11,1,1,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,57,1,54,2,3,0,1,1,0,0,1,0,0,0,1,43,0,39
1,0,10,0,0,0,0,0,85,0,0,0,0,0,1,0,0,0,0,1,70,2,41,1,1,0,6,1,0,0,0,0,0,0,4,25,0,48
2,3,10,1,1,0,0,1,89,0,0,0,0,0,1,0,0,0,0,1,91,0,42,1,10,0,2,2,0,0,0,0,0,0,3,34,1,63
7,6,24,2,2,0,2,1,205,0,0,0,0,0,3,0,0,0,1,0,200,1,123,6,11,1,20,7,1,0,0,5,0,0,5,64,1,132
7,7,56,1,3,0,0,1,306,0,1,0,0,0,4,0,0,1,1,3,318,0,180,11,23,2,17,6,0,0,5,5,0,0,12,113,0,216
0,1,4,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,3,1,1,0,1,1,0,0,0,2,0,0,1,3,0,6
13,9,56,4,0,0,0,1,246,0,3,0,0,0,1,0,0,0,1,4,230,2,160,2,18,3,11,7,0,0,1,1,1,0,16,79,1,168
2,0,2,1,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,30,0,23,1,0,0,4,0,0,0,0,0,0,0,0,17,0,20
0,2,10,2,0,0,0,2,58,0,0,0,0,0,1,0,0,0,0,0,51,0,35,1,1,0,4,0,0,0,0,0,0,0,2,13,0,31
17,23,100,13,5,0,1,0,683,0,5,0,1,0,3,0,0,0,1,12,559,11,308,28,32,4,71,36,1,0,7,12,1,0,49,222,5,388
3,2,22,2,0,0,0,0,85,0,0,0,0,0,1,0,0,0,0,1,65,0,44,0,3,2,5,0,0,0,0,0,0,0,0,20,0,47
1,0,5,0,2,0,0,0,45,0,0,0,0,0,1,0,0,0,0,0,41,0,20,3,0,0,2,1,0,0,0,1,0,0,3,18,0,24
4,3,17,0,0,0,0,0,72,0,1,0,1,0,1,0,0,0,0,1,79,3,57,4,6,1,3,4,0,0,0,0,0,0,4,37,0,55
0,1,16,0,1,0,0,0,74,0,0,0,0,0,2,0,0,0,0,3,58,0,27,1,1,0,3,0,0,0,0,2,0,0,3,8,0,33
