0,0,0,1306,111,43,134,0,3,0
0,0,0,680,31,42,116,0,0,0
0,0,0,153,21,12,125,0,0,0
0,0,0,219,12,18,88,0,9,0
0,0,0,130,24,13,138,0,0,0
0,619,109,0,0,13,20,0,175,0
0,0,0,209,23,15,54,0,3,0
0,0,0,339,46,62,278,0,0,0
149642,0,0,0,0,0,0,123937,0,2239
0,0,0,200,24,14,59,0,1,0
0,0,0,125,10,1,0,0,46,0
0,0,0,193,11,7,2,0,77,0
0,0,0,44,20,13,195,0,8,0
0,0,0,136,10,29,78,0,1,0
0,0,0,44,1,15,204,0,1,0
0,0,0,672,74,27,148,0,1,0
0,0,0,167,2,0,0,0,3,0
0,0,0,74,6,5,34,0,2,0
0,0,0,224,14,22,154,0,0,0
0,0,0,677,13,0,0,0,1,0
0,0,0,237,33,23,35,0,6,0
0,0,0,86,2,15,142,0,0,0
0,0,0,200,32,28,72,0,6,0
0,0,0,187,22,33,88,0,3,0
0,0,0,45,8,16,114,0,1,0
0,0,0,508,28,21,45,0,38,0
0,0,0,1054,22,32,97,0,5,0
0,0,0,216,22,12,94,0,0,0
0,0,0,86,8,18,106,0,1,0
0,0,0,62,12,8,31,0,0,0
0,0,0,74,14,20,107,0,0,0
0,0,0,179,21,7,117,0,0,0
0,0,0,268,30,18,57,0,7,0
0,0,0,173,19,8,54,0,0,0
0,0,0,165,25,3,3,0,28,0
0,0,0,188,19,12,138,0,1,0
0,0,0,159,5,8,139,0,0,0
0,0,0,185,38,22,37,0,0,0
0,0,0,265,13,3,5,0,72,0
0,0,0,34,10,26,224,0,3,0
0,0,0,1158,67,31,37,0,6,0
0,0,0,677,24,17,111,0,1,0
0,0,0,41,1,1,0,0,2,0
0,0,0,814,57,68,94,0,5,0
0,0,0,76,0,0,0,0,68,0
0,0,0,139,7,19,48,0,0,0
0,0,0,2373,106,30,57,0,32,0
0,0,0,181,7,23,91,0,0,0
0,0,0,74,4,16,72,0,1,0
0,0,0,262,37,12,29,0,13,0
0,0,0,132,8,9,84,0,0,0
