7,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,4,0,0,0,0,2,0,45,0,0,0,0,3,0,1,1,0,0,0,0,0,32,8,0
7,0,4,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,2,1,1,2,12,0,1,0,0,2,0,0,1,0,5,0,0,0,855,9,0
359,22,53,35,30,64,84,32,87,24,13,71,9,43,31,0,22,7,4,45,17,16,18,40,42,1,756,29,7,0,26,105,26,10,165,4,74,23,9,4,13429,44,10
1,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,1,0,1,0,1,0,2224,0,0
1958,62,425,278,288,578,404,154,448,272,67,514,100,227,124,1,75,63,56,238,93,78,315,173,176,60,3164,144,62,0,144,435,223,123,837,47,230,134,71,57,110800,197,42
6,0,2,1,1,0,2,0,1,1,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,3,0,0,0,0,0,588,0,0
8,0,0,4,0,0,0,0,0,2,1,11,1,0,0,0,0,0,0,1,0,1,0,0,2,1,30,0,1,0,0,2,0,1,1,0,1,0,0,0,1082,2,2
100,0,19,13,11,4,15,1,6,8,3,9,3,9,5,0,4,3,0,22,2,4,2,1,17,0,103,8,1,0,7,14,4,3,20,0,13,8,0,1,163,13,0
14,0,8,2,0,1,0,1,4,4,1,9,0,0,0,0,0,0,0,5,2,0,1,2,5,0,73,1,0,0,1,4,0,0,5,1,1,0,1,0,4008,1,0
2697,74,531,382,314,617,511,204,484,369,92,643,108,230,167,33,121,79,49,310,109,107,307,279,272,94,4507,166,93,39,210,734,299,127,1058,58,382,118,96,52,132161,299,60
