6172,5231,90,18,236,584,92,87
1257,940,54,17,19,76,69,40
4269,3516,71,68,91,254,296,71
710,570,29,11,10,32,45,33
5145,4274,52,77,126,301,277,39
3238,2964,29,23,66,224,97,45
445,359,4,7,22,23,25,3
4570,3968,41,15,92,300,126,52
148,92,8,3,5,16,13,4
873,773,5,2,19,74,25,5
2642,2397,29,14,51,144,114,27
3295,2878,32,14,105,378,70,16
13015,10504,302,103,184,701,632,341
111537,0,39106,0,0,0,142,182
2951,2454,17,15,90,215,45,28
6852,5601,48,69,147,408,309,26
908,735,6,4,16,60,19,0
4396,3312,68,171,177,365,518,44
2255,1690,52,40,89,171,144,40
29,0,3,0,0,0,16,4
1923,1551,38,11,27,123,58,40
2180,1785,45,43,46,124,119,51
3458,2957,56,18,72,274,99,53
3191,2652,36,40,102,210,166,23
