275,2,133,84,19,43,22,15,30,64,19,97,17,14,13,3,8,3,18,68,14,46,94,36,30,4,275,9,7,6,5,19,54,18,112,17,12,21,3,1,10760,7,13
65,0,27,6,2,8,7,4,7,15,5,16,4,3,4,0,2,0,3,2,0,4,12,2,6,1,92,2,2,0,5,14,7,0,34,2,8,2,2,5,2085,7,0
305,3,73,11,48,68,46,23,91,39,18,50,10,38,23,1,9,4,12,35,7,37,67,39,24,1,393,27,3,0,30,53,41,19,103,8,38,5,10,5,6793,20,6
57,0,9,4,17,8,9,4,56,8,1,8,1,48,9,0,15,0,1,0,0,3,5,10,3,0,175,9,1,0,6,12,5,3,7,1,4,1,4,1,933,0,2
256,7,64,98,50,70,98,62,67,33,8,51,9,37,10,2,13,12,10,26,7,18,68,12,21,8,801,31,3,2,36,49,39,32,138,9,28,6,5,4,7943,35,13
240,1,62,43,11,38,12,6,15,48,12,57,7,5,1,0,3,5,22,31,13,30,53,15,12,2,96,2,4,1,6,37,39,3,45,18,16,3,0,6,5658,8,0
8,0,4,0,1,1,0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,833,1,0
272,9,82,47,38,67,16,17,23,55,8,63,14,14,10,6,8,13,18,50,20,48,85,39,25,2,179,10,7,4,9,74,37,19,127,17,21,15,2,6,7568,15,5
1,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,1,2,0,0,0,0,1,0,0,0,0,0,0,258,0,1
30,2,12,8,3,7,8,3,4,11,1,9,0,1,0,0,1,2,2,2,3,7,7,4,6,1,24,1,2,0,2,14,4,2,20,1,3,1,0,1,1566,1,0
148,1,33,21,16,59,16,10,24,17,4,38,9,7,3,1,2,1,7,13,10,13,42,8,14,4,255,6,6,0,9,17,26,3,46,5,23,14,1,1,4473,9,3
124,2,57,20,12,30,4,6,15,33,8,41,5,0,9,0,2,2,2,15,8,25,42,7,11,1,109,4,4,0,8,30,37,7,73,8,8,4,0,3,6004,4,4
735,15,167,138,85,124,122,58,156,113,16,153,84,62,26,6,20,14,20,62,46,61,184,41,53,7,1174,55,17,3,55,161,77,45,229,17,125,19,35,5,21121,57,19
5317,178,1011,493,442,877,1081,271,855,647,151,1125,196,314,266,29,183,83,307,387,114,475,1762,317,422,159,8426,249,127,28,262,877,1083,256,2128,188,522,204,102,84,118369,431,169
170,4,55,26,13,39,9,7,17,15,4,45,6,9,30,2,4,1,6,50,0,26,29,44,7,1,116,9,4,0,11,159,19,10,74,4,10,3,6,7,4753,7,4
291,18,99,50,45,40,72,32,61,64,10,95,17,44,7,10,16,6,20,62,23,28,88,11,33,28,693,15,8,2,22,62,84,45,155,20,18,9,4,5,10962,69,17
28,0,9,2,1,9,1,0,2,10,2,10,0,1,0,0,3,0,1,1,1,13,3,5,0,0,28,4,3,1,0,4,4,0,20,0,2,2,0,0,1575,1,2
179,0,87,12,17,35,22,12,70,39,10,58,15,25,6,3,18,3,7,8,6,30,59,13,11,1,540,16,4,0,10,18,40,26,57,16,11,1,1,4,7545,9,7
60,2,23,3,5,10,7,2,20,11,3,28,1,12,1,2,4,1,3,1,0,3,7,4,13,0,597,6,1,0,5,15,4,6,14,3,0,0,1,0,3600,3,0
3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,42,0,0
84,3,15,9,7,17,12,9,20,16,7,12,4,5,7,0,2,0,0,2,1,5,8,9,6,1,99,3,5,0,2,33,10,2,54,3,4,3,2,3,3285,1,1
168,3,28,19,21,34,27,12,48,26,5,30,11,20,19,3,6,4,1,15,12,11,59,12,5,3,288,13,3,0,17,61,26,6,61,7,30,3,5,2,3247,16,6
199,5,46,19,22,55,24,11,21,29,4,36,5,3,45,0,7,2,4,40,1,20,43,53,7,1,160,3,2,1,4,101,41,13,82,8,9,7,8,11,5824,6,5
176,3,52,13,26,65,25,11,37,32,5,35,1,12,26,1,5,0,4,24,4,34,42,23,25,3,201,11,5,2,18,65,18,6,84,4,13,3,3,3,5295,3,2
