6,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,3,0,43,0,0,0,0,3,0,2,2,0,0,0,0,0,30,8,0
12,0,9,0,1,0,0,0,2,4,0,4,0,0,1,0,0,0,0,1,0,0,9,0,0,3,18,0,2,0,0,3,1,0,4,1,7,0,0,0,819,9,0
525,41,101,67,41,99,133,48,139,57,13,101,15,53,34,0,35,5,11,58,19,40,64,50,44,3,1121,35,12,0,30,135,44,20,289,13,85,26,10,4,12205,49,16
49,3,7,9,12,3,16,5,21,5,1,6,1,8,3,0,8,0,1,8,0,1,4,7,1,2,172,6,2,0,3,13,7,1,17,0,5,5,2,2,1817,3,3
3763,97,917,435,399,756,642,224,670,561,125,892,195,296,193,0,100,66,224,339,126,402,1318,252,250,76,5426,202,76,0,183,635,774,233,1468,152,303,149,87,79,100468,250,134
13,0,8,3,2,0,4,0,2,4,2,2,0,3,0,0,0,0,0,0,0,1,2,0,0,0,17,0,1,0,0,0,0,6,2,0,0,0,0,0,558,0,0
10,0,3,4,0,0,2,0,1,4,0,19,3,0,0,0,0,0,0,1,0,3,0,0,2,3,40,1,1,0,0,2,3,1,1,2,1,0,0,0,1041,2,4
105,0,14,16,11,4,15,1,7,10,5,5,3,9,5,0,4,1,0,23,2,4,0,2,17,0,117,8,1,0,8,13,5,4,22,1,17,7,0,1,139,13,0
26,0,21,3,1,1,0,1,6,9,1,9,0,0,0,0,0,0,0,7,2,2,1,2,4,0,98,2,1,0,1,6,3,2,13,2,2,0,1,0,3927,1,0
4682,117,1071,591,434,841,826,297,794,676,154,1018,199,305,279,69,184,83,232,453,141,484,1363,391,413,141,7716,232,124,50,297,1066,858,253,1848,185,486,139,94,71,119488,375,122
