21132,12289,5893,128,337,1107,608,280
36668,19710,12114,318,593,1577,1315,259
1302,1040,188,6,29,75,24,5
3186,2241,665,14,52,187,77,20
4836,3576,885,13,114,301,90,32
2466,886,1422,28,25,68,85,11
1355,361,872,9,14,33,52,9
6137,1192,4464,35,42,82,128,76
924,708,152,2,28,52,16,1
4059,2688,808,34,77,236,112,34
4588,1278,3018,28,43,105,147,128
5166,2078,2494,37,54,173,254,143
5761,1829,3198,35,46,163,206,132
70864,0,0,0,0,0,0,0
14637,10571,2905,82,315,830,312,98
1770,629,693,9,19,51,69,23
608,127,450,5,4,17,21,3
