78,0,3,3,2,1,1,47,0,22
519,24,20,3,2,7,9,322,0,86
0,0,0,0,0,0,0,3,0,0
86,1,5,1,1,4,3,80,0,22
7,0,0,0,0,0,0,7,0,1
452,9,19,5,2,9,6,319,21,45
1558,23,39,13,8,19,21,1125,0,171
106,13,9,5,1,3,3,123,0,16
4799,74,373,64,53,81,67,2547,15,1205
0,0,0,0,0,0,0,2,0,0
37566,158,941,179,132,348,257,29884,1916,3935
3,0,0,0,1,0,0,3,0,0
1276,37,47,15,8,18,18,912,0,231
39946,126,915,178,143,347,223,34517,0,3544
523,3,21,5,7,9,5,362,0,90
2,0,0,0,0,0,0,2,0,1
31175,128,703,140,110,276,189,27351,2,2276
0,0,0,0,0,1,0,2,0,0
282,2,8,2,1,2,5,242,0,38
8,0,0,0,0,0,0,7,0,0
27,0,3,0,0,0,0,21,0,3
64,0,1,0,0,1,0,42,0,11
504,3,11,0,1,1,3,519,20,23
27,0,0,1,0,0,0,19,0,4
823,0,19,6,3,12,3,640,25,37
482,25,19,4,3,16,11,323,0,83
432,2,4,2,2,2,1,430,61,23
1398,0,4,1,1,2,0,1161,176,14
2,0,0,0,0,0,0,0,0,1
16927,49,660,123,107,163,131,13269,0,2027
366,7,55,5,7,20,12,404,3,146
2,0,0,0,1,0,0,2,0,1
6,0,0,0,1,0,0,7,0,0
749,3,31,6,8,12,12,570,0,87
454,2,9,3,3,11,2,363,0,51
8946,42,206,28,31,83,54,8291,0,483
5,1,0,1,0,0,0,0,0,2
42,1,1,0,0,0,1,19,0,12
