78,0,3,1,5,1,47,0,22
519,24,20,4,12,5,322,0,86
86,1,5,0,4,5,80,0,22
0,0,0,0,0,0,3,0,0
7,0,0,0,0,0,7,0,1
452,9,19,4,5,13,319,21,45
1558,23,39,13,31,17,1125,0,171
106,13,9,6,3,3,123,0,16
4799,74,373,45,122,98,2547,15,1205
0,0,0,0,0,0,2,0,0
37566,158,941,162,419,335,29884,1916,3935
3,0,0,0,0,1,3,0,0
1276,37,47,13,31,15,912,0,231
39946,126,915,157,393,341,34517,0,3544
523,3,21,3,12,11,362,0,90
2,0,0,0,0,0,2,0,1
31175,128,703,130,319,266,27351,2,2276
0,0,0,0,0,1,2,0,0
282,2,8,4,3,3,242,0,38
8,0,0,0,0,0,7,0,0
27,0,3,0,0,0,21,0,3
64,0,1,0,1,0,42,0,11
504,3,11,2,2,1,519,20,23
27,0,0,0,1,0,19,0,4
482,25,19,6,14,14,323,0,83
823,0,19,3,6,15,640,25,37
432,2,4,0,4,3,430,61,23
1398,0,4,1,2,1,1161,176,14
2,0,0,0,0,0,0,0,1
16927,49,660,93,227,204,13269,0,2027
366,7,55,6,20,18,404,3,146
2,0,0,1,0,0,2,0,1
6,0,0,0,0,1,7,0,0
749,3,31,6,22,10,570,0,87
454,2,9,4,6,9,363,0,51
8946,42,206,27,95,74,8291,0,483
5,1,0,0,1,0,0,0,2
42,1,1,0,1,0,19,0,12
