566,641,52,8,609
174,461,113,2,1308
119,51,2,0,86
79,51,16,1,154
73,137,2,0,204
129,95,1,0,101
302,93,3,0,178
280,66,2,0,138
268,106,9,0,139
428,228,13,5,220
561,330,3,0,234
14,14,0,0,41
193,417,16,5,2130
611,583,12,4,494
1,0,21,93,105
152,75,2,0,61
95,115,14,0,713
98,26,14,0,56
135,37,0,0,56
7,16,6,0,21
69,35,1,0,51
819,110,33,3,677
418,234,29,1,224
7193,1114,146,5,6310
431,62,4,0,177
168,41,2,0,120
47,65,1,0,166
0,0,64,1947,1655
320,195,3,0,186
358,257,53,0,1485
0,1,1561,116,238814
906,183,2,37,513
281,74,46,1,332
294,248,64,2,722
265,71,1,0,178
258,342,23,0,1072
118,134,4,0,266
2922,1580,322,25,4342
448,202,6,1,244
55,70,9,0,222
31,103,4,0,330
358,165,27,0,160
63,39,1,1,53
