18,209,147,11646,274,216
4,57,44,2179,82,106
19,200,166,7732,275,244
16,23,12,1310,36,43
43,206,148,9436,277,181
14,98,106,6163,162,143
0,3,5,829,28,23
10,190,161,8360,244,199
0,1,3,256,7,22
1,37,35,1605,59,39
6,77,73,6348,165,119
10,123,81,4963,140,101
55,661,426,23086,844,710
444,2195,1768,140467,3300,2793
4,126,99,5348,144,94
28,333,190,12384,290,235
0,24,24,1617,41,42
17,169,134,8228,274,229
11,69,23,4169,119,90
1,1,0,40,5,5
8,87,67,3445,75,89
9,84,75,3931,143,151
7,188,135,6378,168,111
8,112,105,5898,162,135
