20834,83,730,120,288,225,17232,0,2262
36054,131,969,156,372,330,30973,0,3569
1381,9,43,7,24,10,1106,0,89
3294,13,108,19,34,24,2644,0,306
5062,33,123,25,73,60,4154,0,317
2525,48,30,10,10,14,2074,0,280
1351,19,17,3,13,9,1167,0,126
6020,26,112,25,42,41,5428,0,462
963,7,20,5,22,18,784,0,64
4009,11,104,16,45,48,3448,0,367
4747,31,99,22,48,47,3868,0,473
5236,20,140,21,49,44,4277,0,612
5610,24,148,23,66,64,4864,0,571
35241,145,877,143,378,310,27919,2239,3612
15192,102,563,87,278,201,12004,0,1323
1496,16,38,8,15,15,1472,0,203
627,15,5,1,4,5,523,0,55
