286,21,120,41,1129
155,1,104,3,606
53,0,18,1,239
61,6,36,4,239
52,2,26,2,223
178,8,36,11,703
35,6,37,2,224
119,4,56,1,545
54564,2552,17026,2285,199391
45,0,14,1,238
22,2,24,2,132
75,2,8,1,204
63,11,18,3,185
47,4,19,2,182
51,0,7,1,206
122,13,120,6,661
11,2,33,2,124
12,2,12,2,93
71,12,39,2,290
100,7,61,2,521
51,3,16,0,264
35,1,36,1,172
57,6,23,2,250
52,3,22,4,252
89,9,63,3,476
22,2,16,0,144
181,12,106,11,900
47,5,27,0,265
34,0,24,2,159
11,3,12,0,87
32,2,17,0,164
43,1,25,4,251
70,5,35,1,269
47,8,14,3,182
30,1,21,1,171
79,1,30,1,247
48,1,33,0,229
38,3,23,0,218
66,2,21,1,268
62,5,18,1,211
172,12,129,8,978
112,8,88,5,617
6,0,4,2,33
169,16,66,5,782
24,0,20,0,100
23,5,30,0,155
453,42,202,24,1877
57,5,23,1,216
25,4,16,1,121
38,2,34,5,154
47,5,21,1,279
